,Date_time,date_documented,Year,Month,Hour,Season,Country_Code,Country,Region,Locale,latitude,longitude,UFO_shape,length_of_encounter_seconds,Encounter_Duration,Description
29547,1997-02-06 03:15:00,3/7/1998,1997,2,3,Winter,USA,United States,Pennsylvania,Grove City,41.1577778,-80.0888889,,10800.0,3 hours,Had a alien possible abduction &#44very hard to talk about it. Remember hearing  buzzing sound and 6 small grey figures that  passed out.
30325,2012-03-10 16:00:00,3/13/2012,2012,3,16,Spring,USA,United States,Arizona,Maricopa County,33.3941,-111.626698,Unknown,60.0,60 seconds,Possible government officials faking an alien sighting.  ((NUFORC Note:  Date amended above.  PD))
30874,2003-03-12 05:30:00,8/24/2004,2003,3,5,Spring,USA,United States,Maryland,Brookwood Estates,38.7741667,-76.0766667,Unknown,1200.0,20 minutes,Caught a possible Alien Abduction and/or Cattle Mutiliation in progress&#44
30966,2011-03-12 22:00:00,1/12/2012,2011,3,22,Spring,USA,United States,Texas,Morgan Mill,32.3880556,-98.1669444,Light,1500.0,25 minutes,Suicide after Alien/UFO sighting near Comanche Peak Nuclear Facility
31302,2003-03-14 04:30:00,9/2/2005,2003,3,4,Spring,USA,United States,California,Kentfield,37.9522222,-122.5561111,Unknown,15.0,15 seconds,Aliens are real.
31464,1972-03-15 22:00:00,4/1/2001,1972,3,22,Spring,USA,United States,Massachusetts,Erving,42.5819444,-72.4930556,Unknown,120.0,2 minutes,Alien sighting
31470,1975-03-15 19:00:00,3/9/2004,1975,3,19,Spring,USA,United States,Kansas,New Cambria,38.8791667,-97.5055556,Rectangle,3600.0,1 hour,SPRING 1975 - Central Kansas - 2 Aliens
31521,1995-03-15 14:00:00,10/30/2006,1995,3,14,Spring,USA,United States,Florida,Orlando,28.5380556,-81.3794444,,120.0,minutes,Daylight encounter with creatures that excerted mind probe at a distance .
31754,2011-03-15 12:00:00,5/29/2011,2011,3,12,Spring,USA,United States,Montana,Glasgow,48.1969444,-106.6361111,Circle,345600.0,3-4 days,((HOAX))  Alien dog fight.
31855,2005-03-16 07:47:00,9/2/2005,2005,3,7,Spring,ISR,Israel,Center District,Kfar Sava,32.178195,34.90761,Oval,180.0,3 minutes,IT WAS SOMETHING ELSE.. MAYBE ALIEN
